vss,,vss,,vss,,vss,,vss,
,vss,,vss,,vss,,vss,,vss
vss,,vss,,vss,,vss,,vss,
,rxcksbRD,,rxcksb,,rxdatasb,,rxdatasbRD,,rxdataRD0
rxdataRD3,,rxdata49,,rxdata35,,rxdata29,,rxdata15,
,rxdata50,,rxdata36,,rxdata30,,rxdata16,,rxdata0
rxdata63,,rxdata48,,rxdata34,,rxdata28,,rxdata14,
,rxdata51,,rxdata37,,rxdata31,,rxdata17,,rxdata1
rxdata62,,rxdata47,,rxdata33,,rxdata27,,rxdata13,
,vss,,vss,,vss,,vss,,vss
vss,,vss,,vss,,vss,,rxdata12,
,rxdata52,,rxdata38,,rxdataRD1,,rxdata18,,rxdata2
rxdata61,,rxdata46,,rxdata32,,rxdata26,,rxdata11,
,rxdata53,,rxdata39,,rxdataRD2,,rxdata19,,rxdata3
rxdata60,,rxdata45,,rxtrk,,rxdata25,,rxdata10,
,vccio,,vccio,,vccio,,vccio,,vccio
vccio,,vccio,,vccio,,vccio,,vccio,
,rxdata54,,rxdata40,,rxckRD,,rxdata20,,rxdata4
rxdata59,,rxdata44,,rxvld,,rxdata24,,rxdata9,
,rxdata55,,rxdata41,,rxckn,,rxdata21,,rxdata5
rxdata58,,rxdata43,,rxvldRD,,rxdata23,,rxdata8,
,rxdata56,,rxdata42,,rxckp,,rxdata22,,rxdata6
rxdata57,,txdata21,,txckp,,txdata43,,rxdata7,
,txdata6,,txdata22,,txvldRD,,txdata44,,txdata58
txdata5,,txdata20,,txckn,,txdata42,,txdata57,
,txdata7,,txdata23,,txvld,,txdata45,,txdata59
txdata4,,txdata19,,txckRD,,txdata41,,txdata56,
,txdata8,,txdata24,,txtrk,,txdata46,,txdata60
txdata3,,txdata18,,txdataRD2,,txdata40,,txdata55,
,vss,,vss,,vss,,vss,,vss
vss,,vss,,vss,,vss,,vss,
,txdata9,,txdata25,,txdata32,,txdata47,,txdata61
txdata2,,txdata17,,txdataRD1,,txdata39,,txdata54,
,txdata10,,txdata26,,txdata33,,txdata48,,txdata62
vccio,,vccio,,vccio,,vccio,,vccio,
,vccio,,vccio,,vccio,,vccio,,vccio
txdata1,,txdata16,,txdata31,,txdata38,,txdata53,
,txdata11,,txdata27,,txdata34,,txdata49,,txdata63
txdata0,,txdata15,,txdata30,,txdata37,,txdata52,
,txdata12,,txdata28,,txdata35,,txdata50,,txdataRD3
txdataRD0,,txdata14,,txdata29,,txdata36,,txdata51,
,txdata13,,txdatasbRD,,txdatasb,,txcksb,,txcksbRD
vccio,,vccio,,vccio,,vccio,,vccio,
,vccio,,vccio,,vccio,,vccio,,vccio
vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,
